year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2050,Deadwood,Premontane Rain,
2050,Deadwood,Tropical Dry,
2050,Deadwood,Tropical Moist,
2050,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
2050,Deadwood,Tropical Wet,
2050,Litter,Premontane Rain,
2050,Litter,Tropical Dry,
2050,Litter,Tropical Moist,
2050,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
2050,Litter,Tropical Wet,
2050,Soil Carbon,Premontane Rain,
2050,Soil Carbon,Tropical Dry,
2050,Soil Carbon,Tropical Moist,
2050,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
2050,Soil Carbon,Tropical Wet,
2050,Total Biomass,Premontane Rain,
2050,Total Biomass,Tropical Dry,
2050,Total Biomass,Tropical Moist,
2050,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
2050,Total Biomass,Tropical Wet,
