year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1900,Deadwood,Premontane Rain,
1900,Deadwood,Tropical Dry,
1900,Deadwood,Tropical Moist,
1900,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
1900,Deadwood,Tropical Wet,
1900,Litter,Premontane Rain,
1900,Litter,Tropical Dry,
1900,Litter,Tropical Moist,
1900,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
1900,Litter,Tropical Wet,
1900,Soil Carbon,Premontane Rain,
1900,Soil Carbon,Tropical Dry,
1900,Soil Carbon,Tropical Moist,
1900,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
1900,Soil Carbon,Tropical Wet,
1900,Total Biomass,Premontane Rain,
1900,Total Biomass,Tropical Dry,
1900,Total Biomass,Tropical Moist,
1900,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
1900,Total Biomass,Tropical Wet,
