year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1920,Deadwood,Premontane Rain,
1920,Deadwood,Tropical Dry,
1920,Deadwood,Tropical Moist,
1920,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
1920,Deadwood,Tropical Wet,
1920,Litter,Premontane Rain,
1920,Litter,Tropical Dry,
1920,Litter,Tropical Moist,
1920,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
1920,Litter,Tropical Wet,
1920,Soil Carbon,Premontane Rain,
1920,Soil Carbon,Tropical Dry,
1920,Soil Carbon,Tropical Moist,
1920,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
1920,Soil Carbon,Tropical Wet,
1920,Total Biomass,Premontane Rain,
1920,Total Biomass,Tropical Dry,
1920,Total Biomass,Tropical Moist,
1920,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
1920,Total Biomass,Tropical Wet,
