year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2040,Deadwood,Premontane Rain,
2040,Deadwood,Tropical Dry,
2040,Deadwood,Tropical Moist,
2040,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
2040,Deadwood,Tropical Wet,
2040,Litter,Premontane Rain,
2040,Litter,Tropical Dry,
2040,Litter,Tropical Moist,
2040,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
2040,Litter,Tropical Wet,
2040,Soil Carbon,Premontane Rain,
2040,Soil Carbon,Tropical Dry,
2040,Soil Carbon,Tropical Moist,
2040,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
2040,Soil Carbon,Tropical Wet,
2040,Total Biomass,Premontane Rain,
2040,Total Biomass,Tropical Dry,
2040,Total Biomass,Tropical Moist,
2040,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
2040,Total Biomass,Tropical Wet,
