year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1950,Deadwood,Premontane Rain,
1950,Deadwood,Tropical Dry,
1950,Deadwood,Tropical Moist,
1950,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
1950,Deadwood,Tropical Wet,
1950,Litter,Premontane Rain,
1950,Litter,Tropical Dry,
1950,Litter,Tropical Moist,
1950,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
1950,Litter,Tropical Wet,
1950,Soil Carbon,Premontane Rain,
1950,Soil Carbon,Tropical Dry,
1950,Soil Carbon,Tropical Moist,
1950,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
1950,Soil Carbon,Tropical Wet,
1950,Total Biomass,Premontane Rain,
1950,Total Biomass,Tropical Dry,
1950,Total Biomass,Tropical Moist,
1950,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
1950,Total Biomass,Tropical Wet,
