year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1960,Deadwood,Premontane Rain,
1960,Deadwood,Tropical Dry,
1960,Deadwood,Tropical Moist,
1960,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
1960,Deadwood,Tropical Wet,
1960,Litter,Premontane Rain,
1960,Litter,Tropical Dry,
1960,Litter,Tropical Moist,
1960,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
1960,Litter,Tropical Wet,
1960,Soil Carbon,Premontane Rain,
1960,Soil Carbon,Tropical Dry,
1960,Soil Carbon,Tropical Moist,
1960,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
1960,Soil Carbon,Tropical Wet,
1960,Total Biomass,Premontane Rain,
1960,Total Biomass,Tropical Dry,
1960,Total Biomass,Tropical Moist,
1960,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
1960,Total Biomass,Tropical Wet,
