year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2000,Deadwood,Premontane Rain,
2000,Deadwood,Tropical Dry,
2000,Deadwood,Tropical Moist,
2000,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
2000,Deadwood,Tropical Wet,
2000,Litter,Premontane Rain,
2000,Litter,Tropical Dry,
2000,Litter,Tropical Moist,
2000,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
2000,Litter,Tropical Wet,
2000,Soil Carbon,Premontane Rain,
2000,Soil Carbon,Tropical Dry,
2000,Soil Carbon,Tropical Moist,
2000,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
2000,Soil Carbon,Tropical Wet,
2000,Total Biomass,Premontane Rain,
2000,Total Biomass,Tropical Dry,
2000,Total Biomass,Tropical Moist,
2000,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
2000,Total Biomass,Tropical Wet,
