year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2030,Deadwood,Premontane Rain,
2030,Deadwood,Tropical Dry,
2030,Deadwood,Tropical Moist,
2030,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
2030,Deadwood,Tropical Wet,
2030,Litter,Premontane Rain,
2030,Litter,Tropical Dry,
2030,Litter,Tropical Moist,
2030,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
2030,Litter,Tropical Wet,
2030,Soil Carbon,Premontane Rain,
2030,Soil Carbon,Tropical Dry,
2030,Soil Carbon,Tropical Moist,
2030,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
2030,Soil Carbon,Tropical Wet,
2030,Total Biomass,Premontane Rain,
2030,Total Biomass,Tropical Dry,
2030,Total Biomass,Tropical Moist,
2030,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
2030,Total Biomass,Tropical Wet,
