year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1910,Deadwood,Premontane Rain,
1910,Deadwood,Tropical Dry,
1910,Deadwood,Tropical Moist,
1910,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
1910,Deadwood,Tropical Wet,
1910,Litter,Premontane Rain,
1910,Litter,Tropical Dry,
1910,Litter,Tropical Moist,
1910,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
1910,Litter,Tropical Wet,
1910,Soil Carbon,Premontane Rain,
1910,Soil Carbon,Tropical Dry,
1910,Soil Carbon,Tropical Moist,
1910,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
1910,Soil Carbon,Tropical Wet,
1910,Total Biomass,Premontane Rain,
1910,Total Biomass,Tropical Dry,
1910,Total Biomass,Tropical Moist,
1910,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
1910,Total Biomass,Tropical Wet,
