year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1990,Deadwood,Premontane Rain,
1990,Deadwood,Tropical Dry,
1990,Deadwood,Tropical Moist,
1990,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
1990,Deadwood,Tropical Wet,
1990,Litter,Premontane Rain,
1990,Litter,Tropical Dry,
1990,Litter,Tropical Moist,
1990,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
1990,Litter,Tropical Wet,
1990,Soil Carbon,Premontane Rain,
1990,Soil Carbon,Tropical Dry,
1990,Soil Carbon,Tropical Moist,
1990,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
1990,Soil Carbon,Tropical Wet,
1990,Total Biomass,Premontane Rain,
1990,Total Biomass,Tropical Dry,
1990,Total Biomass,Tropical Moist,
1990,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
1990,Total Biomass,Tropical Wet,
