year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1930,Deadwood,Premontane Rain,
1930,Deadwood,Tropical Dry,
1930,Deadwood,Tropical Moist,
1930,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
1930,Deadwood,Tropical Wet,
1930,Litter,Premontane Rain,
1930,Litter,Tropical Dry,
1930,Litter,Tropical Moist,
1930,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
1930,Litter,Tropical Wet,
1930,Soil Carbon,Premontane Rain,
1930,Soil Carbon,Tropical Dry,
1930,Soil Carbon,Tropical Moist,
1930,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
1930,Soil Carbon,Tropical Wet,
1930,Total Biomass,Premontane Rain,
1930,Total Biomass,Tropical Dry,
1930,Total Biomass,Tropical Moist,
1930,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
1930,Total Biomass,Tropical Wet,
