year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2020,Deadwood,Premontane Rain,
2020,Deadwood,Tropical Dry,
2020,Deadwood,Tropical Moist,
2020,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
2020,Deadwood,Tropical Wet,
2020,Litter,Premontane Rain,
2020,Litter,Tropical Dry,
2020,Litter,Tropical Moist,
2020,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
2020,Litter,Tropical Wet,
2020,Soil Carbon,Premontane Rain,
2020,Soil Carbon,Tropical Dry,
2020,Soil Carbon,Tropical Moist,
2020,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
2020,Soil Carbon,Tropical Wet,
2020,Total Biomass,Premontane Rain,
2020,Total Biomass,Tropical Dry,
2020,Total Biomass,Tropical Moist,
2020,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
2020,Total Biomass,Tropical Wet,
