year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1980,Deadwood,Premontane Rain,
1980,Deadwood,Tropical Dry,
1980,Deadwood,Tropical Moist,
1980,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
1980,Deadwood,Tropical Wet,
1980,Litter,Premontane Rain,
1980,Litter,Tropical Dry,
1980,Litter,Tropical Moist,
1980,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
1980,Litter,Tropical Wet,
1980,Soil Carbon,Premontane Rain,
1980,Soil Carbon,Tropical Dry,
1980,Soil Carbon,Tropical Moist,
1980,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
1980,Soil Carbon,Tropical Wet,
1980,Total Biomass,Premontane Rain,
1980,Total Biomass,Tropical Dry,
1980,Total Biomass,Tropical Moist,
1980,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
1980,Total Biomass,Tropical Wet,
