LifeZone,AIDBSPP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Tropical Dry,Red alder,0,0.002622014,0.069770476,0.42535877,1.423052297,3.435099947,6.758505696,11.56605912,17.89721627,25.67467813,34.7332778,44.85160117,55.78067522,67.26706755,79.06971598,90.97093312,102.7825578,114.3483782,125.5438912,136.2743087,146.471527,156.0905983,165.1060816,173.5085225,181.301214,188.4973189,195.1173833,201.187238,206.7362644,211.7959901,216.3989738,220.5779378,224.3651111,227.791744,230.8877648,233.6815495,236.1997812,238.4673788,240.5074793,242.3414599,243.9889888,245.4680966,246.7952608,247.9854992,249.0524663,250.0085521,250.864978,251.6318918,252.3184569,252.9329378,253.4827805,253.9746864,254.4146822,254.8081837,255.1600542,255.4746583,255.7559113,256.0073234,256.2320405,256.432881,256.6123691,256.7727645,256.91609,257.0441558,257.1585813,257.2608152,257.3521531,257.4337538,257.506653,257.5717771,257.629954,257.6819236,257.7283474,257.7698166,257.8068594,257.8399478,257.8695036,257.8959037,257.9194848,257.9405478,257.9593614,257.9761656,257.9911751,258.0045815,258.0165558,258.0272511,258.0368039,258.0453363,258.0529571,258.0597638,258.0658434,258.0712734,258.0761234,258.0804551,258.0843241,258.0877797,258.0908662,258.0936228,258.096085,258.0982841,258.1002482,258.1020024,258.1035693,258.1049687,258.1062186,258.1073349,258.108332,258.1092226,258.110018,258.1107284,258.1113629,258.1119296,258.1124357,258.1128878,258.1132916,258.1136522,258.1139743,258.114262,258.1145189,258.1147484,258.1149533,258.1151364,258.1152999,258.115446,258.1155764,258.1156929,258.1157969,258.1158899,258.1159729,258.116047,258.1161132,258.1161723,258.1162252,258.1162723,258.1163145,258.1163521,258.1163857,258.1164157,258.1164425,258.1164665,258.1164879,258.116507,258.116524,258.1165393,258.1165529,258.1165651,258.1165759,258.1165856,258.1165943,258.116602,258.1166089,258.1166151,258.1166206,258.1166255,258.1166299,258.1166338,258.1166373,258.1166405,258.1166433,258.1166458,258.116648,258.11665,258.1166518,258.1166534,258.1166548,258.1166561,258.1166572,258.1166582,258.1166591,258.1166599,258.1166606,258.1166613,258.1166619,258.1166624,258.1166628,258.1166632,258.1166636,258.1166639,258.1166642,258.1166645,258.1166647,258.1166649,258.1166651,258.1166653,258.1166654,258.1166656,258.1166657,258.1166658,258.1166659,258.116666,258.116666,258.1166661,258.1166662,258.1166662,258.1166663,258.1166663,258.1166663,258.1166664,258.1166664,258.1166664,258.1166665
Tropical Moist,Red alder,0,14.9403305,29.36968014,43.30552519,56.76474422,69.76363854,82.31795191,94.44288964,106.153137,117.462877,128.3858076,138.9351582,149.1237057,158.9637902,168.4673297,177.6458343,186.5104209,195.0718258,203.3404183,211.326213,219.038882,226.4877666,233.6818886,240.6299612,247.3403997,253.8213316,260.0806062,266.1258046,271.9642484,277.6030091,283.048916,288.3085651,293.3883265,298.2943528,303.0325859,307.6087646,312.0284313,316.2969391,320.4194578,324.4009803,328.2463291,331.9601614,335.5469752,339.0111148,342.3567759,345.5880105,348.7087323,351.7227208,354.6336266,357.4449752,360.1601717,362.7825045,365.3151497,367.7611748,370.1235423,372.4051134,374.6086516,376.7368255,378.7922128,380.7773029,382.6945,384.5461263,386.3344242,388.0615598,389.7296249,391.3406397,392.8965555,394.3992567,395.8505633,397.2522332,398.605964,399.9133952,401.1761104,402.3956389,403.5734577,404.7109935,405.8096239,406.8706795,407.8954455,408.885163,409.8410308,410.7642065,411.6558083,412.516916,413.3485725,414.1517853,414.9275269,415.6767371,416.4003233,417.0991617,417.7740988,418.4259522,419.0555112,419.6635384,420.2507701,420.8179177,421.3656681,421.8946845,422.4056079,422.8990569,423.3756293,423.8359022,424.2804331,424.7097604,425.1244041,425.5248664,425.9116323,426.2851702,426.6459326,426.9943564,427.3308636,427.6558618,427.9697446,428.2728921,428.5656716,428.8484375,429.1215325,429.3852872,429.6400211,429.8860428,430.1236502,430.353131,430.5747633,430.7888154,430.9955466,431.1952074,431.3880394,431.5742763,431.7541437,431.9278593,432.0956336,432.2576697,432.414164,432.565306,432.7112787,432.8522589,432.9884174,433.1199191,433.2469232,433.3695836,433.4880489,433.6024624,433.7129629,433.819684,433.9227552,434.0223012,434.1184425,434.2112957,434.3009732,434.3875836,434.4712317,434.552019,434.6300433,434.705399,434.7781774,434.8484667,434.916352,434.9819155,435.0452367,435.1063922,435.165456,435.2224999,435.2775927,435.3308013,435.38219,435.4318212,435.479755,435.5260493,435.5707603,435.6139421,435.6556471,435.6959256,435.7348266,435.7723971,435.8086827,435.8437272,435.8775732,435.9102615,435.9418319,435.9723226,436.0017704,436.030211,436.057679,436.0842075,436.1098287,436.1345736,436.1584722,436.1815534,436.2038452,436.2253746,436.2461677,436.2662496,436.2856447,436.3043764,436.3224675,436.3399398,436.3568146,436.3731122,436.3888525,436.4040544,436.4187363
"Tropical Premontane Wet, Transition to Basal - Pacific",Red alder,0,9.248916955,18.30200988,27.16342488,35.83722029,44.32736852,52.63775785,60.77219426,68.73440314,76.528031,84.15664714,91.62374531,98.93274526,106.0869944,113.0897691,119.9442765,126.6536559,133.22098,139.6492565,145.9414294,152.1003803,158.1289299,164.0298393,169.8058107,175.4594896,180.9934651,186.4102717,191.7123902,196.9022489,201.9822245,206.9546435,211.8217834,216.585873,221.2490942,225.8135827,230.2814289,234.654679,238.9353358,243.1253598,247.2266699,251.2411444,255.1706219,259.0169019,262.781746,266.4668784,270.0739869,273.6047232,277.0607046,280.4435137,283.7546998,286.9957793,290.1682366,293.2735246,296.3130654,299.2882511,302.2004443,305.0509786,307.8411596,310.572265,313.2455458,315.8622261,318.4235043,320.9305536,323.384522,325.7865333,328.1376878,330.4390621,332.6917102,334.8966637,337.0549326,339.1675053,341.2353491,343.2594113,345.2406187,347.1798787,349.0780794,350.9360902,352.754762,354.5349278,356.2774027,357.9829848,359.6524552,361.2865785,362.8861031,364.4517615,365.9842708,367.4843328,368.9526346,370.3898485,371.7966328,373.1736318,374.521476,375.8407828,377.1321564,378.3961882,379.6334571,380.8445298,382.0299608,383.1902932,384.3260582,385.4377761,386.5259559,387.5910962,388.6336846,389.6541986,390.6531057,391.6308632,392.587919,393.5247115,394.4416695,395.3392132,396.2177534,397.0776927,397.9194247,398.7433351,399.5498011,400.3391921,401.1118696,401.8681874,402.608492,403.3331224,404.0424105,404.7366811,405.4162521,406.0814348,406.7325338,407.3698473,407.9936673,408.6042793,409.201963,409.7869922,410.3596347,410.920153,411.4688035,412.0058377,412.5315014,413.0460355,413.5496755,414.0426521,414.5251911,414.9975135,415.4598355,415.912369,416.3553212,416.7888948,417.2132886,417.6286968,418.0353098,418.4333137,418.8228907,419.2042194,419.5774744,419.9428266,420.3004433,420.6504883,420.9931219,421.3285011,421.6567794,421.9781072,422.2926316,422.6004967,422.9018435,423.19681,423.4855312,423.7681395,424.0447642,424.315532,424.580567,424.8399905,425.0939213,425.3424757,425.5857675,425.8239082,426.0570069,426.2851702,426.5085027,426.7271067,426.9410822,427.1505273,427.355538,427.5562079,427.7526292,427.9448918,428.1330836,428.3172909,428.497598,428.6740876,428.8468404,429.0159356,429.1814505,429.3434611,429.5020415,429.6572644,429.8092007,429.9579202,430.1034909,430.2459794,430.3854511,430.5219699,430.6555981,430.7863971
"Tropical Premontane Wet, Transition to Basal - Atlantic",Red alder,0,14.79087342,29.12166286,43.00667965,56.45978997,69.49442867,82.12361272,94.35995415,106.2156727,117.702608,128.8322314,139.6156575,150.063655,160.1866577,169.9947749,179.4978014,188.7052274,197.6262477,206.2697714,214.6444301,222.7585873,230.6203459,238.2375572,245.617828,252.7685285,259.6967998,266.4095608,272.913515,279.2151576,285.3207817,291.2364846,296.968174,302.5215739,307.9022301,313.1155159,318.1666375,323.0606393,327.8024086,332.3966807,336.8480436,341.1609428,345.3396851,349.3884438,353.311262,357.1120573,360.7946253,364.3626435,367.8196752,371.1691727,374.4144809,377.5588408,380.6053924,383.5571782,386.4171459,389.1881516,391.8729626,394.47426,396.9946416,399.4366244,401.8026471,404.0950723,406.3161896,408.4682169,410.5533033,412.5735313,414.5309181,416.4274185,418.2649266,420.0452772,421.7702484,423.4415627,425.0608892,426.629845,428.149997,429.6228633,431.0499147,432.4325762,433.7722288,435.0702103,436.3278168,437.5463043,438.7268896,439.8707517,440.9790329,442.0528399,443.0932452,444.1012877,445.0779741,446.0242798,446.9411497,447.8294995,448.6902164,449.5241598,450.3321627,451.1150319,451.8735492,452.6084721,453.3205345,454.0104476,454.6789003,455.3265601,455.9540739,456.5620682,457.1511504,457.7219085,458.2749128,458.8107152,459.3298511,459.8328387,460.3201805,460.792363,461.2498579,461.6931219,462.1225978,462.5387144,462.9418874,463.3325192,463.7110001,464.077708,464.4330091,464.7772583,465.1107992,465.433965,465.7470785,466.0504523,466.3443893,466.6291832,466.9051182,467.1724701,467.4315057,467.6824838,467.925655,468.1612621,468.3895404,468.6107179,468.8250155,469.0326472,469.2338202,469.4287356,469.617588,469.8005659,469.9778522,470.1496238,470.3160522,470.4773038,470.6335395,470.7849153,470.9315824,471.0736873,471.2113719,471.3447737,471.4740259,471.5992576,471.7205939,471.8381559,471.952061,472.0624229,472.169352,472.2729549,472.3733352,472.470593,472.5648256,472.6561269,472.7445883,472.8302979,472.9133415,472.993802,473.0717596,473.1472923,473.2204755,473.2913822,473.3600833,473.4266475,473.491141,473.5536285,473.6141722,473.6728326,473.7296684,473.7847362,473.8380911,473.8897863,473.9398735,473.9884027,474.0354224,474.0809794,474.1251194,474.1678864,474.209323,474.2494707,474.2883696,474.3260585,474.3625751,474.3979557,474.4322359,474.4654497,474.4976303,474.52881,474.5590197,474.5882898,474.6166494,474.6441269
Tropical Wet,Red alder,0,13.66749823,27.08313062,40.25153855,53.17727791,65.86482061,78.31855617,90.5427932,102.5417609,114.3196106,125.8804171,137.2281799,148.3668253,159.3002067,170.0321068,180.5662384,190.9062462,201.0557075,211.0181335,220.7969711,230.3956035,239.8173514,249.0654745,258.1431723,267.0535856,275.799797,284.3848324,292.8116621,301.0832014,309.202312,317.171803,324.9944315,332.6729039,340.2098768,347.6079576,354.869706,361.9976342,368.9942084,375.8618491,382.6029322,389.2197902,395.714712,402.0899449,408.3476945,414.4901257,420.5193636,426.4374942,432.246565,437.9485857,443.5455291,449.0393315,454.4318936,459.7250811,464.9207254,470.0206238,475.0265408,479.9402084,484.7633265,489.4975637,494.144558,498.7059171,503.183219,507.5780129,511.8918191,516.1261301,520.2824108,524.3620993,528.3666068,532.297319,536.1555957,539.9427717,543.6601573,547.3090385,550.8906779,554.4063145,557.8571647,561.2444223,564.5692592,567.8328257,571.0362509,574.1806432,577.2670903,580.2966601,583.2704007,586.1893409,589.0544907,591.8668412,594.6273655,597.3370186,599.996738,602.6074438,605.1700394,607.6854112,610.1544295,612.5779485,614.9568067,617.2918271,619.5838175,621.8335709,624.0418657,626.2094658,628.3371212,630.425568,632.4755287,634.4877125,636.4628157,638.4015215,640.3045006,642.1724115,644.0059003,645.8056014,647.5721375,649.3061198,651.008148,652.6788111,654.3186871,655.9283433,657.5083366,659.0592137,660.5815111,662.0757554,663.5424637,664.9821434,666.3952925,667.7823999,669.1439457,670.4804007,671.7922274,673.0798797,674.343803,675.5844347,676.8022038,677.9975318,679.1708322,680.3225109,681.4529664,682.5625897,683.6517648,684.7208685,685.7702707,686.8003343,687.8114159,688.8038652,689.7780255,690.7342339,691.6728213,692.5941122,693.4984255,694.3860741,695.257365,696.1125997,696.952074,697.7760784,698.584898,699.3788126,700.1580969,700.9230205,701.6738479,702.4108391,703.1342489,703.8443277,704.5413211,705.2254702,705.8970118,706.5561781,707.2031972,707.8382931,708.4616853,709.0735896,709.6742177,710.2637773,710.8424725,711.4105035,711.9680667,712.5153551,713.052558,713.5798613,714.0974474,714.6054954,715.104181,715.5936768,716.0741522,716.5457733,717.0087033,717.4631024,717.9091278,718.3469338,718.7766719,719.1984907,719.6125362,720.0189517,720.4178777,720.8094522,721.1938108,721.5710864,721.9414095,722.3049082,722.6617084,723.0119334,723.3557045,723.6931405
Premontane Rain,Red alder,0,14.6680539,29.04278563,43.13006087,56.93562798,70.46512038,83.72405882,96.71785368,109.4518071,121.9311153,134.1608704,146.1460628,157.8915832,169.4022243,180.6826832,191.7375628,202.5713742,213.188538,223.5933868,233.7901662,243.783037,253.576077,263.1732821,272.5785686,281.7957744,290.8286604,299.6809127,308.3561435,316.8578926,325.1896294,333.3547534,341.3565967,349.1984244,356.8834363,364.4147683,371.7954937,379.0286241,386.1171112,393.0638473,399.8716671,406.5433486,413.0816142,419.4891317,425.768516,431.9223292,437.9530825,443.8632367,449.6552035,455.3313463,460.8939814,466.3453785,471.6877621,476.9233122,482.0541652,487.0824148,492.0101127,496.8392698,501.5718565,506.209804,510.7550049,515.2093138,519.5745483,523.8524898,528.0448838,532.153441,536.179838,540.1257177,543.9926903,547.7823337,551.4961942,555.1357875,558.7025985,562.1980828,565.6236666,568.9807479,572.2706964,575.4948547,578.6545384,581.7510368,584.7856135,587.7595066,590.6739298,593.5300723,596.3290995,599.0721535,601.7603538,604.3947972,606.9765587,609.5066919,611.986229,614.4161821,616.7975425,619.131282,621.4183529,623.6596885,625.8562033,628.0087936,630.1183379,632.1856968,634.2117141,636.1972164,638.1430139,640.0499006,641.9186546,643.7500386,645.5447997,647.3036703,649.0273682,650.7165967,652.3720452,653.994389,655.5842903,657.1423978,658.6693472,660.1657617,661.6322519,663.0694162,664.477841,665.8581011,667.2107596,668.5363685,669.8354688,671.1085905,672.3562532,673.5789659,674.7772276,675.9515272,677.102344,678.2301475,679.3353979,680.4185462,681.4800345,682.5202958,683.5397546,684.5388269,685.5179205,686.4774348,687.4177613,688.3392838,689.2423783,690.1274133,690.99475,691.8447422,692.6777369,693.4940738,694.2940862,695.0781005,695.8464365,696.5994079,697.3373218,698.0604794,698.7691758,699.4637002,700.1443358,700.8113606,701.4650467,702.1056608,702.7334643,703.3487133,703.9516591,704.5425475,705.1216197,705.689112,706.245256,706.7902786,707.3244021,707.8478446,708.3608197,708.8635366,709.3562005,709.8390124,710.3121694,710.7758645,711.2302869,711.6756221,712.1120517,712.539754,712.9589033,713.3696707,713.7722239,714.1667271,714.5533412,714.9322241,715.3035304,715.6674115,716.024016,716.3734893,716.7159741,717.05161,717.3805342,717.7028807,718.0187812,718.3283645,718.631757,718.9290824,719.2204621,719.506015,719.7858575,720.060104,720.3288663,720.592254
